Year,Industry_aggregation_NZSIOC,Industry_code_NZSIOC
2016,Level 4,PP111
2016,Level 4,PP111
2016,Level 4,PP111
2016,Level 4,PP111
2016,Level 4,PP111
2016,Level 4,PP111
2016,Level 4,PP112
2016,Level 4,PP112
2016,Level 4,PP112
2016,Level 4,PP112
2016,Level 4,PP112
2016,Level 4,PP112
2016,Level 4,PP112
2016,Level 4,PP112
2016,Level 4,PP112
2016,Level 4,PP112
2016,Level 4,PP112
2016,Level 4,PP112
2016,Level 4,PP112
2016,Level 4,PP112
2016,Level 4,PP112
2016,Level 4,PP112
2016,Level 4,PP112
2016,Level 4,PP112
2016,Level 4,PP112
2016,Level 4,PP112
2016,Level 4,PP112
2016,Level 4,PP112
2016,Level 4,PP112
2016,Level 4,PP112
2016,Level 4,PP112
2016,Level 4,PP112
2016,Level 4,PP112
2016,Level 4,PP112
2016,Level 4,PP112
2016,Level 4,PP112
2016,Level 4,PP113
2016,Level 4,PP113
2016,Level 4,PP113
2016,Level 4,PP113
2016,Level 4,PP113
2016,Level 4,PP113
2016,Level 4,PP113
2016,Level 4,PP113
2016,Level 4,PP113
2016,Level 4,PP113
2016,Level 4,PP113
2016,Level 4,PP113
2016,Level 4,PP113
2016,Level 4,PP113
2016,Level 4,PP113
2016,Level 4,PP113
2016,Level 4,PP113
2016,Level 4,PP113
2016,Level 4,PP113
2016,Level 4,PP113
2016,Level 4,PP113
2016,Level 4,PP113
2016,Level 4,PP113
2016,Level 4,PP113
2016,Level 4,PP113
2016,Level 4,PP113
2016,Level 4,PP113
2016,Level 4,PP113
2016,Level 4,PP113
2016,Level 4,PP113
2016,Level 4,PP114
2016,Level 4,PP114
2016,Level 4,PP114
2016,Level 4,PP114
2016,Level 4,PP114
2016,Level 4,PP114
2016,Level 4,PP114
2016,Level 4,PP114
2016,Level 4,PP114
2016,Level 4,PP114
2016,Level 4,PP114
2016,Level 4,PP114
2016,Level 4,PP114
2016,Level 4,PP114
2016,Level 4,PP114
2016,Level 4,PP114
2016,Level 4,PP114
2016,Level 4,PP114
2016,Level 4,PP114
2016,Level 4,PP114
2016,Level 4,PP114
2016,Level 4,PP114
2016,Level 4,PP114
2016,Level 4,PP114
2016,Level 4,PP114
2016,Level 4,PP114
2016,Level 4,PP114
2016,Level 4,PP114
2016,Level 4,PP114
2016,Level 4,PP114
2016,Level 1,QQ
2016,Level 1,QQ
2016,Level 1,QQ
